quote,movie,type,year,clean_quote,clean_quote_light,clean_quote_strict
"The truth is a matter of circumstances, it’s not all things to all people all the time.",Captain America: The Winter Soldier,movie,2014,the truth is a matter of circumstances it’s not all things to all people all the time,the truth is a matter of circumstances it s not all things to all people all the time,truth matter circumstance thing people time
"Don't wait for things to get easier, simpler, better. Life will always be complicated. Learn to be happy right now. Otherwise, you'll run out of time.",The Intouchables,movie,2014,dont wait for things to get easier simpler better life will always be complicated learn to be happy right now otherwise youll run out of time,don t wait for things to get easier simpler better life will always be complicated learn to be happy right now otherwise you ll run out of time,wait thing get easy simpler well life always complicate learn happy right otherwise run time
Even a broken clock is right twice a day.,The Imitation Game,movie,2014,even a broken clock is right twice a day,even a broken clock is right twice a day,even broken clock right twice day
Not quite my tempo.,Whiplash,movie,2014,not quite my tempo,not quite my tempo,quite tempo
Popularity is the slutty little cousin of prestige.,Birdman,movie,2014,popularity is the slutty little cousin of prestige,popularity is the slutty little cousin of prestige,popularity slutty little cousin prestige
"Look, you're beautiful and you're talented. And I'm lucky to have you.",Birdman,movie,2014,look youre beautiful and youre talented and im lucky to have you,look you re beautiful and you re talented and i m lucky to have you,look beautiful talented lucky
"One day it’ll grow, and every time I look at it, I’ll remember. Remember everything that happened: the good, the bad and how lucky I am that I made it home.",The Hobbit: The Battle of Five Armies,movie,2014,one day it’ll grow and every time i look at it i’ll remember remember everything that happened the good the bad and how lucky i am that i made it home,one day it ll grow and every time i look at it i ll remember remember everything that happened the good the bad and how lucky i am that i made it home,one day grow every time look remember remember everything happen good bad lucky make home
"That’s what you always do, you confuse love for admiration.",Birdman,movie,2014,that’s what you always do you confuse love for admiration,that s what you always do you confuse love for admiration,always confuse love admiration
"If more people valued home above gold, this world would be a merrier place.",The Hobbit: The Battle of Five Armies,movie,2014,if more people valued home above gold this world would be a merrier place,if more people valued home above gold this world would be a merrier place,people value home gold world would merrier place
Only a fool argues for the pride of a dead man.,The Raid 2: Berandal,movie,2014,only a fool argues for the pride of a dead man,only a fool argues for the pride of a dead man,fool argues pride dead man
"They never see you coming, do they Bob?",The Drop,movie,2014,they never see you coming do they bob,they never see you coming do they bob,never see come bob
Sometimes it is the people who no one imagines anything of who do the things that no one can imagine.,The Imitation Game,movie,2014,sometimes it is the people who no one imagines anything of who do the things that no one can imagine,sometimes it is the people who no one imagines anything of who do the things that no one can imagine,sometimes people one imago anything thing one imagine
